prerequisite_set	unit_purchasable_effect
#unit_purchasable_prerequisite_sets_to_effects_junctions_tables;0;db/unit_purchasable_prerequisite_sets_to_effects_junctions_tables/idrinth	
idrinth_hev_high_elf_vampires_asuryan	idrinth_asuryan_god_favour_cave_bats
idrinth_hev_high_elf_vampires_kurnous	idrinth_kurnous_god_favour_cave_bats
idrinth_hev_high_elf_vampires_khaine	idrinth_khaine_god_favour_cave_bats
idrinth_hev_high_elf_vampires_asuryan	idrinth_asuryan_god_favour_wolves
idrinth_hev_high_elf_vampires_kurnous	idrinth_kurnous_god_favour_wolves
idrinth_hev_high_elf_vampires_khaine	idrinth_khaine_god_favour_wolves
idrinth_hev_high_elf_vampires_asuryan	idrinth_asuryan_god_favour_hawks
idrinth_hev_high_elf_vampires_kurnous	idrinth_kurnous_god_favour_hawks
idrinth_hev_high_elf_vampires_khaine	idrinth_khaine_god_favour_hawks
idrinth_hev_high_elf_vampires_asuryan	idrinth_asuryan_god_favour_great_eagles
idrinth_hev_high_elf_vampires_kurnous	idrinth_kurnous_god_favour_great_eagles
idrinth_hev_high_elf_vampires_khaine	idrinth_khaine_god_favour_great_eagles
