level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value	resource_transaction_on_complete	split_chain_sort_order
#building_levels_tables;2;db/building_levels_tables/idrinth																									
idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel	0	2	5000	100		false	false			false	idrinth_chapel	false	0.0000	0	true	1		true	0	0		100		-1
idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel	1	3	10000	250		false	false			false	idrinth_chapel	false	0.0000	0	true	3		true	0	0	idrinth_asuryan_chapel	300		-1
idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel	1	3	10000	250		false	false			false	idrinth_chapel	false	0.0000	0	true	3		true	0	0	idrinth_kurnous_chapel	300		-1
idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel	1	3	10000	250		false	false			false	idrinth_chapel	false	0.0000	0	true	3		true	0	0	idrinth_khaine_chapel	300		-1
idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel	2	5	25000	500		false	false			false	idrinth_chapel	false	0.0000	0	true	5		true	0	0	idrinth_asuryan_chapel_2	750		-1
idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel	2	5	25000	500		false	false			false	idrinth_chapel	false	0.0000	0	true	5		true	0	0	idrinth_kurnous_chapel_2	750		-1
idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel	2	5	25000	500		false	false			false	idrinth_chapel	false	0.0000	0	true	5		true	0	0	idrinth_khaine_chapel_2	750		-1
idrinth_hev_high_elf_vampires_chapel_0_beasts	idrinth_hev_high_elf_vampires_beasts	0	3	5000	50		false	false			false	idrinth_beasts	false	0.0000	0	true	1		true	0	0		50		-1
idrinth_hev_high_elf_vampires_chapel_1_beasts	idrinth_hev_high_elf_vampires_beasts	1	5	10000	200		false	false			false	idrinth_beasts	false	0.0000	0	true	3		true	0	0		100		-1
idrinth_hev_high_elf_vampires_chapel_2_beasts	idrinth_hev_high_elf_vampires_beasts	2	7	15000	450		false	false			false	idrinth_beasts	false	0.0000	0	true	5		true	0	0		150		-1
idrinth_hev_high_elf_vampires_chapel_1_diplomacy	idrinth_hev_high_elf_vampires_diplomacy	0	5	10000	200		false	false			false	idrinth_diplomancy	false	0.0000	0	true	3		true	0	0		100		-1
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	idrinth_hev_high_elf_vampires_diplomacy	1	7	15000	450		false	false			false	idrinth_diplomancy	false	0.0000	0	true	5		true	0	0		150		-1
idrinth_hev_high_elf_vampires_chapel_2_altar	idrinth_hev_high_elf_vampires_altar	0	7	15000	450		false	false			false	idrinth_altar	false	0.0000	0	true	5		true	0	0		150		-1
idrinth_hev_high_elf_vampires_horde_0	idrinth_hev_high_elf_vampires_horde	0	2	5000	0		false	false			false	idrinth_hev_high_elf_vampires_horde	false	0.0000	0	true	0		true	0	0		0		-1
idrinth_hev_high_elf_vampires_horde_healer_wagon_0	idrinth_hev_high_elf_vampires_horde_healer_wagon	0	3	5000	0		false	false			false	idrinth_hev_high_elf_vampires_horde_healer_wagon	false	0.0000	0	true	0		true	0	0		0		-1
idrinth_hev_high_elf_vampires_horde_quartermaster_0	idrinth_hev_high_elf_vampires_horde_quartermaster	0	1	5000	0		false	false			false	idrinth_hev_high_elf_vampires_horde_quartermaster	false	0.0000	0	true	0		true	0	0		0		-1
idrinth_hev_high_elf_vampires_horde_trader_0	idrinth_hev_high_elf_vampires_horde_trader	0	2	5000	0		false	false			false	idrinth_hev_high_elf_vampires_horde_trader	false	0.0000	0	true	0		true	0	0		0		-1
