unit	unit_group
#unit_to_unit_group_junctions_tables;0;db/unit_to_unit_group_junctions_tables/idrinth	
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_priest_asuryan
idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_priest_khaine
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_priest_kurnous
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_chapel_vampire_priest_asuryan
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_hev_high_elf_vampires_chapel_varghulf_asuryan
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_chapel_vampire_priest_khaine
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_hev_high_elf_vampires_chapel_varghulf_khaine
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_chapel_vampire_priest_kurnous
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_hev_high_elf_vampires_chapel_varghulf_kurnous
idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan
idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine
idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous
idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed
