unit_upgrade_group	x	y	category
#unit_upgrade_group_ui_infos_tables;1;db/unit_upgrade_group_ui_infos_tables/idrinth			
idrinth_hev_high_elf_vampires_chapel_priest_asuryan	100	0	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_asuryan	0	300	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_vampire_priest_asuryan	0	100	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_varghulf_asuryan	200	100	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_priest_khaine	400	0	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_khaine	100	300	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_vampire_priest_khaine	300	100	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_varghulf_khaine	500	100	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_priest_kurnous	400	200	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_kurnous	200	300	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_vampire_priest_kurnous	300	300	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_varghulf_kurnous	500	300	UNDIVIDED
idrinth_hev_high_elf_vampires_chapel_mixed	100	200	UNDIVIDED
