campaign_group	effect_bundle	effect_type	optional_icon
#campaign_group_pooled_resource_effects_tables;3;db/campaign_group_pooled_resource_effects_tables/idrinth			
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_khaine_low	idrinth_hev_high_elf_vampires_idrinth_khaine_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_hev_high_elf_vampires_idrinth_khaine_medium	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_hev_high_elf_vampires_idrinth_khaine_high	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	idrinth_hev_high_elf_vampires_idrinth_kurnous_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_hev_high_elf_vampires_idrinth_kurnous_high	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	idrinth_hev_high_elf_vampires_idrinth_asuryan_low	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_hev_high_elf_vampires_idrinth_asuryan_high	ABSOLUTE_VALUE	
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	ABSOLUTE_VALUE	
