key	building	unit	XP	conditions	faction	enabled
#building_units_allowed_tables;4;db/building_units_allowed_tables/idrinth						
333333333	idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333334	idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333335	idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333336	idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333337	idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333338	idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333339	idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333340	idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan	0	0		false
333333341	idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan	0	0		false
333333342	idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel_khaine	0	0		false
333333343	idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel_khaine	0	0		false
333333344	idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous	0	0		false
333333345	idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous	0	0		false
333333346	idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	0	0		false
333333347	idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel_khaine_leader	0	0		false
333333348	idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	0	0		false
333333349	idrinth_hev_high_elf_vampires_chapel_2_altar	idrinth_hev_high_elf_vampires_chapel_shrine	0	0		false
333333350	idrinth_hev_high_elf_vampires_horde_trader_0	idrinth_hev_high_elf_vampires_chapel_outriders	0	0		false
333333351	idrinth_hev_high_elf_vampires_horde_0	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333352	idrinth_hev_high_elf_vampires_horde_trader_1	idrinth_hev_high_elf_vampires_chapel_outriders	0	0		false
333333353	idrinth_hev_high_elf_vampires_horde_1	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
333333354	idrinth_hev_high_elf_vampires_horde_trader_2	idrinth_hev_high_elf_vampires_chapel_outriders	0	0		false
333333355	idrinth_hev_high_elf_vampires_horde_2	idrinth_hev_high_elf_vampires_chapel_mixed	0	0		false
