child_key	parent_key	child_link_position	parent_link_position	parent_link_position_offset	child_link_position_offset	mid_link_offset
#unit_upgrade_group_ui_links_tables;2;db/unit_upgrade_group_ui_links_tables/idrinth						
idrinth_hev_high_elf_vampires_chapel_vampire_priest_asuryan	idrinth_hev_high_elf_vampires_chapel_priest_asuryan	1	4	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_varghulf_asuryan	idrinth_hev_high_elf_vampires_chapel_priest_asuryan	1	2	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_vampire_priest_khaine	idrinth_hev_high_elf_vampires_chapel_priest_khaine	1	4	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_varghulf_khaine	idrinth_hev_high_elf_vampires_chapel_priest_khaine	1	2	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_vampire_priest_kurnous	idrinth_hev_high_elf_vampires_chapel_priest_kurnous	1	4	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_varghulf_kurnous	idrinth_hev_high_elf_vampires_chapel_priest_kurnous	1	2	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_mixed	1	4	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_mixed	1	3	0.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_mixed	1	2	0.0000	0.0000	0.0000
