key	icon_path
#unit_purchasable_effects_categories_tables;0;db/unit_purchasable_effects_categories_tables/idrinth	
idrinth_asuryan	icon_asuryan.png
idrinth_kurnous	icon_kurnous.png
idrinth_khaine	icon_khaine.png
idrinth_experience_0	veteran_experience_0.png
idrinth_experience_1	veteran_experience_1.png
idrinth_experience_2	veteran_experience_2.png
idrinth_experience_3	veteran_experience_3.png
idrinth_experience_4	veteran_experience_4.png
idrinth_experience_5	veteran_experience_5.png
idrinth_experience_6	veteran_experience_6.png
idrinth_experience_7	veteran_experience_7.png
idrinth_experience_8	veteran_experience_8.png
idrinth_experience_9	veteran_experience_9.png
