child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/idrinth							
idrinth_wh2_main_skill_node_hef_noble_generic_1	idrinth_wh2_main_skill_node_hef_noble_generic_2	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_generic_1	idrinth_wh2_main_skill_node_hef_noble_generic_3	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_generic_3	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_1_1	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_generic_2	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_1_1	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_06	idrinth_wh_main_skill_node_vmp_necromancer_magic1_11	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_07	idrinth_wh_main_skill_node_vmp_necromancer_magic1_11	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_08	idrinth_wh_main_skill_node_vmp_necromancer_magic1_07	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_08	idrinth_wh_main_skill_node_vmp_necromancer_magic1_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_campaign_05	idrinth_wh_main_skill_node_vmp_necromancer_campaign_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_campaign_04	idrinth_wh_main_skill_node_vmp_necromancer_campaign_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_vmp_wight_king_campaign_01	idrinth_wh2_main_skill_node_hef_noble_campaign_05	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_vmp_wight_king_campaign_01	idrinth_wh2_main_skill_node_hef_noble_campaign_04	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_03	idrinth_wh_main_skill_node_vmp_necromancer_magic1_01	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_04	idrinth_wh_main_skill_node_vmp_necromancer_magic1_01	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_09	idrinth_wh_main_skill_node_vmp_necromancer_magic1_01	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_10	idrinth_wh_main_skill_node_vmp_necromancer_magic1_03	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_10	idrinth_wh_main_skill_node_vmp_necromancer_magic1_04	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_necromancer_magic1_10	idrinth_wh_main_skill_node_vmp_necromancer_magic1_09	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_combat_1_2	idrinth_wh_main_skill_node_vmp_dignitary_self_04	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_main_skill_node_hef_noble_combat_1_3	idrinth_wh_main_skill_node_vmp_dignitary_self_04	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_06	idrinth_wh2_main_skill_node_hef_noble_combat_1_2	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_06	idrinth_wh2_main_skill_node_hef_noble_combat_1_3	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	idrinth_wh2_main_skill_node_hef_noble_combat_1_2	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	idrinth_wh2_main_skill_node_hef_noble_combat_1_3	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_07	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_07	idrinth_wh_main_skill_node_vmp_dignitary_self_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_09	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_09	idrinth_wh_main_skill_node_vmp_dignitary_self_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_10	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_node_vmp_dignitary_self_10	idrinth_wh_main_skill_node_vmp_dignitary_self_06	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_all_magic_death_04_soulblight	idrinth_wh_main_skill_all_magic_death_01_spirit_leech	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	idrinth_wh_main_skill_all_magic_death_01_spirit_leech	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	idrinth_wh_main_skill_all_magic_death_04_soulblight	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_magic_shadow_the_withering	idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	idrinth_wh_dlc05_skill_magic_shadow_the_withering	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	0	0	0	0.0000	0.0000	REQUIRED
idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	0	0	0	0.0000	0.0000	REQUIRED
idrinth_loremaster_lore_of_vampires	idrinth_wh_main_skill_node_vmp_necromancer_magic1_10	0	0	0	0.0000	0.0000	REQUIRED
idrinth_loremaster_lore_of_death	idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	0	0	0	0.0000	0.0000	REQUIRED
idrinth_loremaster_lore_of_shadows	idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	0	0	0	0.0000	0.0000	REQUIRED
idrinth_ranger_knowledge	idrinth_veterans	0	0	0	0.0000	0.0000	REQUIRED
idrinth_blade_dancing	idrinth_veterans	0	0	0	0.0000	0.0000	REQUIRED
idrinth_unusual_training	idrinth_veterans	0	0	0	0.0000	0.0000	REQUIRED
idrinth_running_wild	idrinth_veterans	0	0	0	0.0000	0.0000	REQUIRED
idrinth_lord_of_free_blades	idrinth_ranger_knowledge	0	0	0	0.0000	0.0000	REQUIRED
idrinth_lord_of_free_blades	idrinth_blade_dancing	0	0	0	0.0000	0.0000	REQUIRED
idrinth_lord_of_free_blades	idrinth_unusual_training	0	0	0	0.0000	0.0000	REQUIRED
idrinth_lord_of_free_blades	idrinth_running_wild	0	0	0	0.0000	0.0000	REQUIRED
idrinth_hidden_paths	idrinth_ranger_knowledge	0	0	0	0.0000	0.0000	REQUIRED
idrinth_hidden_paths	idrinth_blade_dancing	0	0	0	0.0000	0.0000	REQUIRED
idrinth_hidden_paths	idrinth_unusual_training	0	0	0	0.0000	0.0000	REQUIRED
idrinth_hidden_paths	idrinth_running_wild	0	0	0	0.0000	0.0000	REQUIRED
