character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/idrinth				
idrinth_campaign_actions_dummy	idrinth_effect_agent_action_enable_assist_army_training	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	idrinth_effect_agent_action_enable_hinder_army_assault_units	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	idrinth_effect_agent_action_enable_passive_spread_public_order	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	idrinth_effect_agent_action_enable_hinder_agent_assassinate	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_main_effect_ability_enable_invocation_of_nehek	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_main_effect_ability_enable_spirit_leech	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_dlc05_effect_ability_enable_melkoths_mystifying_miasma	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_dlc05_effect_ability_enable_smoke_and_mirrors	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_main_effect_ability_enable_life-leeching	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh_main_effect_ability_enable_curse_of_undeath	1	character_to_character_own	1.0000
idrinth_campaign_actions_dummy	wh3_main_effect_agent_action_passive_spread_corruption_vampiric_effect	1	character_to_province_any	2.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh2_main_effect_agent_action_assist_army_training_buff	1	character_to_character_own	15.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh2_main_effect_agent_action_assist_army_training_buff	2	character_to_character_own	30.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh3_dlc20_effect_healing_cap_modifier	2	character_to_character_own	20.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh3_dlc20_effect_healing_cap_modifier	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh3_dlc20_effect_healing_cap_modifier	3	character_to_character_own	30.0000
idrinth_wh2_main_skill_all_hero_assist_army_training	wh2_main_effect_agent_action_assist_army_training_buff	3	character_to_character_own	50.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	1	character_to_character_own	3.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	2	character_to_character_own	8.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh3_dlc20_effect_healing_cap_modifier	2	character_to_character_own	20.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh3_dlc20_effect_healing_cap_modifier	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh3_dlc20_effect_healing_cap_modifier	3	character_to_character_own	30.0000
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	3	character_to_character_own	15.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh2_main_effect_agent_action_hinder_army_assault_units_buff	1	character_to_character_own	3.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh2_main_effect_agent_action_hinder_army_assault_units_buff	2	character_to_character_own	8.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh3_dlc20_effect_healing_cap_modifier	2	character_to_character_own	20.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh3_dlc20_effect_healing_cap_modifier	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh3_dlc20_effect_healing_cap_modifier	3	character_to_character_own	30.0000
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	wh2_main_effect_agent_action_hinder_army_assault_units_buff	3	character_to_character_own	15.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_cost_mod	1	character_to_character_own	-10.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_success_chance	1	character_to_character_own	1.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_cost_mod	2	character_to_character_own	-20.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_success_chance	2	character_to_character_own	3.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_cost_mod	3	character_to_character_own	-40.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh3_dlc20_effect_healing_cap_modifier	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh3_dlc20_effect_healing_cap_modifier	2	character_to_character_own	20.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh3_dlc20_effect_healing_cap_modifier	3	character_to_character_own	30.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh_main_effect_agent_action_success_chance	3	character_to_character_own	6.0000
idrinth_wh2_main_skill_all_hero_reduce_action_cost	wh2_main_effect_agent_action_success_chance_enemies_in_region	3	character_to_enemy_character_in_region	-8.0000
idrinth_wh2_main_skill_hef_combat_valour_of_ages	wh2_main_effect_character_stat_weapon_strength_vs_dark_elves	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_hef_combat_valour_of_ages	wh_main_effect_character_stat_weapon_strength	1	character_to_character_own	3.0000
idrinth_wh2_main_skill_hef_combat_valour_of_ages	wh2_main_effect_character_stat_weapon_strength_vs_forces_of_destruction	2	character_to_character_own	15.0000
idrinth_wh2_main_skill_hef_combat_valour_of_ages	wh_main_effect_character_stat_weapon_strength	2	character_to_character_own	8.0000
idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	wh_main_effect_character_stat_melee_defence	1	character_to_character_own	3.0000
idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	wh_main_effect_character_stat_speed	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	wh_main_effect_character_stat_magic_resistance	1	character_to_character_own	10.0000
idrinth_wh2_main_skill_hef_generic_warding_of_loec	wh_main_effect_character_stat_missile_resistance	1	character_to_character_own	10.0000
