special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/idrinth	
idrinth_lore_thalui	idrinth_lore_thalui_oath_of_withstanding
idrinth_lore_thalui	idrinth_lore_thalui_shadow_finger
idrinth_lore_thalui	idrinth_lore_thalui_shadow_dance
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_oath_of_withstanding_upgraded
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_shadow_finger_upgraded
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_shadow_dance_upgraded
idrinth_lore_thalui	idrinth_lore_thalui_eternal_servitude
idrinth_lore_thalui	idrinth_lore_thalui_deadly_intend
idrinth_lore_thalui	idrinth_lore_thalui_oath_of_vengeance
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_eternal_servitude_upgraded
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_deadly_intend_upgraded
idrinth_lore_thalui_upgraded	idrinth_lore_thalui_oath_of_vengeance_upgraded
