character_name	skill	level
#battle_set_piece_armies_characters_skills_tables;2;db/battle_set_piece_armies_characters_skills_tables/idrinth		
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_09_curse_of_years	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_10_wind_of_death	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_vmp_magic_vampires_dummy_invocation_of_nehek	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_enfeebling_foe	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_mystifying_miasma_dummy	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_okkams_mindrazor	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_penumbral_pendulum	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_pit_of_shades	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_skill_magic_shadow_the_withering	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_all_11_arcane_conduit	1
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_03_life_leeching	1
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_04_soulblight	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_05_doom_and_darkness	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_09_the_fate_of_bjuna	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_10_the_purple_sun_of_xereus	3
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_skill_all_magic_death_dummy_spirit_leech	3
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_skill_magic_weapon_master	1
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_09_curse_of_years	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_10_wind_of_death	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_vmp_magic_vampires_dummy_invocation_of_nehek	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_enfeebling_foe	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_mystifying_miasma_dummy	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_okkams_mindrazor	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_penumbral_pendulum	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_pit_of_shades	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_dlc05_skill_magic_shadow_the_withering	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_all_11_arcane_conduit	1
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_03_life_leeching	1
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_04_soulblight	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_05_doom_and_darkness	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_09_the_fate_of_bjuna	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_10_the_purple_sun_of_xereus	3
idrinth_hev_high_elf_vampires_idrinthgeneral	wh_main_skill_all_magic_death_dummy_spirit_leech	3
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_skill_magic_weapon_master	1
