group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;2;db/cdir_military_generator_unit_qualities_tables/idrinth		
wh3_default_land_characters	idrinth_hev_high_elf_vampires_idrinthchampion	tier_5_units
wh3_default_land_melee_infantry_main_frontline_spears	idrinth_hev_high_elf_vampires_chapel_asuryan	tier_3_step_1_units
wh3_default_land_melee_infantry_main_flanking	idrinth_hev_high_elf_vampires_chapel_khaine	tier_3_step_1_units
wh3_default_land_ranged_infantry_main_light_backline_high_quality	idrinth_hev_high_elf_vampires_chapel_kurnous	tier_3_step_1_units
wh3_default_land_melee_infantry_main	idrinth_hev_high_elf_vampires_chapel_mixed	tier_2_step_3_units
wh3_default_land_melee_cavalry_main_chariots	idrinth_hev_high_elf_vampires_chapel_shrine	tier_5_units
wh3_default_land_characters	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	tier_4_step_1_units
wh3_default_land_characters	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	tier_4_step_1_units
wh3_default_land_characters	idrinth_hev_high_elf_vampires_chapel_khaine_leader	tier_4_step_1_units
wh3_default_land_flying_light_harasser	idrinth_hev_high_elf_vampires_chapel_cave_bats	tier_1_step_1_units
wh3_default_land_flying	idrinth_hev_high_elf_vampires_chapel_hawks	tier_2_step_1_units
wh3_default_land_flying	idrinth_hev_high_elf_vampires_chapel_great_eagle	tier_4_step_1_units
wh3_default_land_melee_cavalry_light	idrinth_hev_high_elf_vampires_chapel_wolves	tier_2_step_1_units
wh3_default_land_monsters_flanking_strong	idrinth_hev_high_elf_vampires_chapel_stone_wolves	tier_4_step_5_units
