from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/idrinth	
idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel_1_asuryan
idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel_1_kurnous
idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel_1_khaine
idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel_2_asuryan
idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel_2_kurnous
idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel_2_khaine
idrinth_hev_high_elf_vampires_chapel_0_beasts	idrinth_hev_high_elf_vampires_chapel_1_beasts
idrinth_hev_high_elf_vampires_chapel_1_beasts	idrinth_hev_high_elf_vampires_chapel_2_beasts
idrinth_hev_high_elf_vampires_chapel_1_diplomacy	idrinth_hev_high_elf_vampires_chapel_2_diplomacy
idrinth_hev_high_elf_vampires_horde_0	idrinth_hev_high_elf_vampires_horde_1
idrinth_hev_high_elf_vampires_horde_healer_wagon_0	idrinth_hev_high_elf_vampires_horde_healer_wagon_1
idrinth_hev_high_elf_vampires_horde_quartermaster_0	idrinth_hev_high_elf_vampires_horde_quartermaster_1
idrinth_hev_high_elf_vampires_horde_trader_0	idrinth_hev_high_elf_vampires_horde_trader_1
idrinth_hev_high_elf_vampires_horde_1	idrinth_hev_high_elf_vampires_horde_2
idrinth_hev_high_elf_vampires_horde_healer_wagon_1	idrinth_hev_high_elf_vampires_horde_healer_wagon_2
idrinth_hev_high_elf_vampires_horde_quartermaster_1	idrinth_hev_high_elf_vampires_horde_quartermaster_2
idrinth_hev_high_elf_vampires_horde_trader_1	idrinth_hev_high_elf_vampires_horde_trader_2
idrinth_hev_high_elf_vampires_artisan_quarters_1	idrinth_hev_high_elf_vampires_artisan_quarters_2
idrinth_hev_high_elf_vampires_tavern_0	idrinth_hev_high_elf_vampires_tavern_1
idrinth_hev_high_elf_vampires_tavern_1	idrinth_hev_high_elf_vampires_tavern_2
