unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/idrinth		
idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_asuryan_god_favour_cave_bats	true
idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_kurnous_god_favour_cave_bats	true
idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_khaine_god_favour_cave_bats	true
idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_asuryan_god_favour_wolves	true
idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_kurnous_god_favour_wolves	true
idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_khaine_god_favour_wolves	true
idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_asuryan_god_favour_hawks	true
idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_kurnous_god_favour_hawks	true
idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_khaine_god_favour_hawks	true
idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_asuryan_god_favour_great_eagles	true
idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_kurnous_god_favour_great_eagles	true
idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_khaine_god_favour_great_eagles	true
