effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/idrinth					
idrinth_effect_agent_action_enable_assist_army_training	experience.png	8	experience.png	campaign	true
idrinth_effect_agent_action_enable_hinder_army_assault_units		1		campaign	true
idrinth_effect_agent_action_enable_passive_spread_corruption_vmp		2		campaign	true
idrinth_effect_agent_action_enable_hinder_agent_assassinate		3		campaign	true
idrinth_effect_agent_action_enable_passive_stimulate_growth		4		campaign	true
idrinth_pooled_resource_khaine	khaine.png	5	khaine.png	campaign	true
idrinth_pooled_resource_kurnous	kurnous.png	6	kurnous.png	campaign	true
idrinth_pooled_resource_asuryan	asuryan.png	7	asuryan.png	campaign	true
idrinth_effect_character_stat_ammunition	ammo_character.png	210	ammo_character.png	both	true
idrinth_effect_character_stat_ward_save	resistance_ward_save.png	580	resistance_ward_save.png	both	true
idrinth_effect_character_stat_ap_damage	armour_piercing_character.png	170	armour_piercing_character.png	both	true
idrinth_effect_upkeep_idrinth		777		campaign	false
idrinth_initiative_khaine	khaine.png	666	khaine.png	campaign	true
idrinth_initiative_kurnous	kurnous.png	666	kurnous.png	campaign	true
idrinth_initiative_asuryan	asuryan.png	66	asuryan.png	campaign	true
idrinth_pooled_resource_khaine_good	khaine.png	5	khaine.png	campaign	true
idrinth_pooled_resource_kurnous_good	kurnous.png	6	kurnous.png	campaign	true
idrinth_pooled_resource_asuryan_good	asuryan.png	7	asuryan.png	campaign	true
idrinth_pooled_resource_khaine_bad	khaine.png	5	khaine.png	campaign	true
idrinth_pooled_resource_kurnous_bad	kurnous.png	6	kurnous.png	campaign	true
idrinth_pooled_resource_asuryan_bad	asuryan.png	7	asuryan.png	campaign	true
idrinth_chapel_khaine_charge	khaine.png	5	khaine.png	campaign	true
idrinth_chapel_kurnous_range	kurnous.png	6	kurnous.png	campaign	true
idrinth_chapel_asuryan_ward_save	asuryan.png	7	asuryan.png	campaign	true
idrinth_effect_agent_action_enable_passive_spread_public_order	public_order.png	4	public_order.png	campaign	true
idrinth_loremaster_lore_of_vampires		12		both	false
idrinth_loremaster_lore_of_vampires_2		12		both	true
idrinth_loremaster_lore_of_shadows		123		both	false
idrinth_loremaster_lore_of_shadows_2		123		both	true
idrinth_loremaster_lore_of_death		123		both	false
idrinth_loremaster_lore_of_death_2		123		both	true
idrinth_priests_wh_main_effect_force_stat_weapon_strength		4		both	true
idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction		4		both	false
idrinth_priests_wh_main_effect_force_stat_speed		4		both	true
idrinth_priests_wh_main_effect_force_stat_range		4		both	true
idrinth_priests_wh_main_effect_force_stat_melee_defence		4		both	true
idrinth_priests_wh_main_effect_force_stat_melee_attack_pct		4		both	true
idrinth_priests_wh_main_effect_force_stat_fire_resistance		4		both	true
idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct		4		both	true
idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate		4		both	true
idrinth_priests_wh_main_effect_character_stat_physical_resistance		4		both	true
idrinth_priests_wh_main_effect_character_stat_missile_resistance		4		both	true
idrinth_priests_wh_main_effect_character_stat_missile_damage		4		both	true
idrinth_priests_wh_main_effect_attribute_enable_causes_fear		4		both	true
idrinth_priests_wh_main_effect_ability_enable_the_hunger		4		both	true
idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek		4		both	true
idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead		4		both	true
idrinth_successful_action_motivation	wound_time.png	345		campaign	true
idrinth_ranger_knowledge_primary		4		both	true
idrinth_blade_dancing_primary		4		both	true
idrinth_unusual_training_primary		4		both	true
idrinth_running_wild_primary		4		both	true
idrinth_veterans_primary		4		both	true
idrinth_strong_as_stone_primary		4		both	true
idrinth_beasts_of_nature_primary		4		both	true
idrinth_ranger_knowledge_secondary		4		both	true
idrinth_blade_dancing_secondary		4		both	true
idrinth_unusual_training_secondary		4		both	true
idrinth_running_wild_secondary		4		both	true
idrinth_veterans_secondary		4		both	false
idrinth_strong_as_stone_secondary		4		both	true
idrinth_beasts_of_nature_secondary		4		both	true
idrinth_veterans_tertiary		4		both	true
idrinth_unit_capacity_chapel_mixed_elven_guard	thalui.png	4	thalui.png	campaign	true
idrinth_unit_capacity_chapel_asuryan_guard	asuryan.png	4	asuryan.png	campaign	true
idrinth_unit_capacity_chapel_khaine_guard	khaine.png	4	khaine.png	campaign	true
idrinth_unit_capacity_chapel_kurnous_guard	kurnous.png	4	kurnous.png	campaign	true
idrinth_unit_capacity_chapel_asuryan_priest	asuryan.png	4	asuryan.png	campaign	true
idrinth_unit_capacity_chapel_khaine_priest	khaine.png	4	khaine.png	campaign	true
idrinth_unit_capacity_chapel_kurnous_priest	kurnous.png	4	kurnous.png	campaign	true
idrinth_unit_capacity_chapel_asuryan_vampire_priest	asuryan.png	4	asuryan.png	campaign	true
idrinth_unit_capacity_chapel_khaine_vampire_priest	khaine.png	4	khaine.png	campaign	true
idrinth_unit_capacity_chapel_kurnous_vampire_priest	kurnous.png	4	kurnous.png	campaign	true
idrinth_unit_capacity_chapel_asuryan_varghulf	asuryan.png	4	asuryan.png	campaign	true
idrinth_unit_capacity_chapel_khaine_varghulf	khaine.png	4	khaine.png	campaign	true
idrinth_unit_capacity_chapel_kurnous_varghulf	kurnous.png	4	kurnous.png	campaign	true
idrinth_unit_capacity_chapel_shrine	thalui.png	4	thalui.png	campaign	true
idrinth_unit_capacity_chapel_outriders	thalui.png	4	thalui.png	campaign	true
idrinth_unit_capacity_chapel_stone_wolves	thalui.png	4	thalui.png	campaign	true
idrinth_unit_upkeep_mod_conditional	military_spending.png	1	military_spending.png	campaign	false
idrinth_chapel_beasts_upkeep	military_spending.png	1	military_spending.png	campaign	false
idrinth_chapel_units_upkeep	military_spending.png	1	military_spending.png	campaign	false
idrinth_enable_thalui_name	thalui.png	2	thalui.png	campaign	true
idrinth_enable_knight_scholar_name	thalui.png	2	thalui.png	campaign	true
idrinth_enable_thalui_name_actual	thalui.png	0	thalui.png	campaign	true
idrinth_enable_knight_scholar_name_actual	thalui.png	0	thalui.png	campaign	true
idrinth_enable_stances		0		campaign	true
idrinth_chapel_units_recruitment_rank	experience.png	1	experience.png	campaign	true
idrinth_initiative_khaine_pray	kurnous.png	3	kurnous.png	campaign	true
idrinth_initiative_kurnous_pray	khaine.png	3	khaine.png	campaign	true
idrinth_initiative_asuryan_pray	asuryan.png	3	asuryan.png	campaign	true
idrinth_hev_high_elf_vampires_anti_chaos_enable	thalui.png	1	thalui.png	both	true
idrinth_hev_high_elf_vampires_anti_chaos_disable	thalui.png	2	thalui.png	both	false
idrinth_chapel_slots_present	thalui.png	1	thalui.png	campaign	true
idrinth_chapel_recruitment_speedup	thalui.png	11	thalui.png	campaign	false
idrinth_hev_high_elf_vampires_disable_enemy_lightning_strike	subterfuge.png	12	subterfuge.png	campaign	false
