key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/idrinth								
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low			character	1	khaine.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_khaine_low			character	1	khaine.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_khaine_medium			character	1	khaine.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_khaine_high			character	1	khaine.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high			character	1	khaine.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low			character	1	kurnous.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_kurnous_low			character	1	kurnous.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium			character	1	kurnous.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_kurnous_high			character	1	kurnous.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high			character	1	kurnous.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low			character	1	asuryan.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_asuryan_low			character	1	asuryan.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium			character	1	asuryan.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_asuryan_high			character	1	asuryan.png	true	true	false
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high			character	1	asuryan.png	true	true	false
idrinth_dilemma_empire_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_empire_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_empire_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_high_elves_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_high_elves_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_high_elves_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_kislev_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_kislev_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_kislev_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_vampire_counts_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_vampire_counts_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_vampire_counts_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_wood_elves_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_wood_elves_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_wood_elves_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_dwarves_FIRST			faction	1	character.png	true	false	false
idrinth_dilemma_dwarves_SECOND			faction	1	character.png	true	false	false
idrinth_dilemma_dwarves_THIRD			faction	1	character.png	true	false	false
idrinth_dilemma_god_favour_asuryan_large			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_large			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_large			faction	1	khaine.png	true	false	true
idrinth_dilemma_god_favour_asuryan_medium			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_medium			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_medium			faction	1	khaine.png	true	false	true
idrinth_dilemma_god_favour_asuryan_small			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_small			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_small			faction	1	khaine.png	true	false	true
idrinth_dilemma_god_favour_asuryan_large_cost			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_large_cost			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_large_cost			faction	1	khaine.png	true	false	true
idrinth_dilemma_god_favour_asuryan_medium_cost			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_medium_cost			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_medium_cost			faction	1	khaine.png	true	false	true
idrinth_dilemma_god_favour_asuryan_small_cost			faction	1	asuryan.png	true	false	true
idrinth_dilemma_god_favour_kurnous_small_cost			faction	1	kurnous.png	true	false	true
idrinth_dilemma_god_favour_khaine_small_cost			faction	1	khaine.png	true	false	true
idrinth_asuryan_god_favour_plus1			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_plus1			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_plus1			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_plus2			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_plus2			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_plus2			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_plus3			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_plus3			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_plus3			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_plus4			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_plus4			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_plus4			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_plus5			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_plus5			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_plus5			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_minus1			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_minus1			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_minus1			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_minus2			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_minus2			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_minus2			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_minus3			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_minus3			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_minus3			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_minus4			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_minus4			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_minus4			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_minus5			faction	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_minus5			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_minus5			faction	1	khaine.png	false	false	true
idrinth_vampiric_priests			faction	1111	vampire.png	true	false	true
idrinth_successful_action_character			character	1111	wound_time.png	false	false	true
idrinth_successful_action_character_critical			character	1111	wound_time.png	false	false	true
idrinth_successful_action_army_critical			character	1111	wound_time.png	false	false	true
idrinth_successful_action_army			character	1111	wound_time.png	false	false	true
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling			force	1	lileaths_blessing.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling			force	1	beastpaths.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_army_ambush			force	1	icon_effects_ambush.png	true	false	true
idrinth_hev_vampires_bundle_stance_army_default			force	1	icon_effects_army.png	true	false	true
idrinth_hev_vampires_bundle_stance_army_forced_march			force	1	icon_effects_forced_march.png	true	false	true
idrinth_hev_vampires_bundle_stance_army_garrisoned			force	0	army.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding			force	1	icon_effects_raiding.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_army_settlement			force	1	icon_effects_fortify.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_navy_blockading			force	1	siege_attack.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_siege			force	1	siege_attack.png	true	false	true
idrinth_hev_high_elf_vampires_bundle_stance_patrol			faction	1	icon_effects_forced_march.png	true	false	true
idrinth_asuryan_god_favour_cave_bats			force	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_cave_bats			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_cave_bats			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_wolves			force	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_wolves			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_wolves			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_hawks			force	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_hawks			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_hawks			faction	1	khaine.png	false	false	true
idrinth_asuryan_god_favour_great_eagles			force	1	asuryan.png	false	false	true
idrinth_kurnous_god_favour_great_eagles			faction	1	kurnous.png	false	false	true
idrinth_khaine_god_favour_great_eagles			faction	1	khaine.png	false	false	true
