key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/idrinth																																																											
idrinth_hev_high_elf_vampires_idrinth	55	wh2_main_plate_105	2450	inf_melee	35	com	idrinth_hev_high_elf_vampires_idrinth	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_idrinth	55	60	60	4000		0	idrinth_main_hef_greatsword	idrinth_main_hef_bow_arrow	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_idrinth	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_idrinth	60	80	20	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	-50	5	0	10	15	0	hybrid_mage_highvalue	true	true	false	false	high	high	domination_characters			skirmish	1.2500	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_asuryan	40	wh2_main_leather_80	2450	inf_melee	25	inf_mel	idrinth_hev_high_elf_vampires_chapel_asuryan	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	35	45	65	100		0	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan	4	wh_missile_block_10_inaudible	idrinth_hev_high_elf_vampires_chapel_asuryan	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_asuryan	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	0	0	5	10	0	hybrid_lowvalue	true	true	false	false	low	low	low			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_kurnous	45	wh2_main_leather_80	2450	inf_melee	25	inf_mel	idrinth_hev_high_elf_vampires_chapel_kurnous	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	35	40	65	100		0	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous	4	wh_missile_block_10_inaudible	idrinth_hev_high_elf_vampires_chapel_kurnous	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_kurnous	60	80	15	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	0	0	5	10	0	hybrid_lowvalue	true	true	false	false	low	low	low			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_khaine	40	wh2_main_leather_80	2450	inf_melee	25	inf_mel	idrinth_hev_high_elf_vampires_chapel_khaine	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	40	40	65	100		0	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine	4	wh_missile_block_10_inaudible	idrinth_hev_high_elf_vampires_chapel_khaine	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_khaine	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	0	0	5	10	0	hybrid_lowvalue	true	true	false	false	low	low	low			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_mixed	35	wh2_main_leather_65	2450	inf_melee	20	inf_mel	idrinth_hev_high_elf_vampires_chapel_mixed	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	30	35	60	75		0	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed	4	wh_missile_block_10_inaudible	idrinth_hev_high_elf_vampires_chapel_mixed	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_mixed	60	80	5	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	0	0	5	10	0	hybrid_lowvalue	true	true	false	false	low	low	low			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	40	wh2_main_plate_95	2450	inf_melee	30	com	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	40	50	75	2500		0	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	60	80	15	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	45	wh2_main_plate_95	2450	inf_melee	30	com	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	40	45	75	2500		0	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	60	80	20	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_khaine_leader	40	wh2_main_plate_95	2450	inf_melee	30	com	idrinth_hev_high_elf_vampires_chapel_khaine_leader	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	45	45	75	2500		0	idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_khaine_leader	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_khaine_leader	60	80	15	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_shrine	35	wh2_main_plate_60	2450	war_machine	60	chariot	idrinth_hev_high_elf_vampires_chapel_shrine	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	30	35	100	3000		0	idrinth_hev_high_elf_vampires_chapel_shrine		1	wh_missile_block_65_inaudible	idrinth_hev_high_elf_vampires_chapel_shrine	wh_main_chariot	trained		wh_dlc04_vmp_veh_mortis_engine	true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_shrine	60	80	20	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	-15	0	1	75	25	0	melee_highvalue	false	true	false	false	medium	medium	domination_cav			melee	1.0000	1.0000	false	true
