ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/idrinth	
wh_main_hero_abilities_immortal_will	idrinth_hev_high_elf_vampires_idrinth
wh_main_lord_passive_the_hunger	idrinth_hev_high_elf_vampires_idrinth
wh_main_unit_passive_unstable	idrinth_hev_high_elf_vampires_idrinth
wh_main_unit_passive_unstable_mark_ii	idrinth_hev_high_elf_vampires_idrinth
wh3_main_unit_passive_single_entity	idrinth_hev_high_elf_vampires_idrinth
wh2_main_unit_passive_martial_mastery	idrinth_hev_high_elf_vampires_idrinth
wh3_main_unit_passive_single_entity	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh2_main_unit_passive_martial_mastery	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh3_main_unit_passive_single_entity	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh2_main_unit_passive_martial_mastery	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh3_main_unit_passive_single_entity	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh2_main_unit_passive_martial_mastery	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_main_unit_passive_regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_main_unit_passive_frenzy	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh_main_unit_passive_deathblow	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_main_spell_death_doom_and_darkness	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_main_spell_death_doom_and_darkness	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh_main_spell_death_doom_and_darkness	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_main_character_abilities_rally	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_main_character_abilities_rally	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh_main_character_abilities_rally	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_dlc05_spell_shadow_the_withering	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_dlc05_spell_shadow_the_withering	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh_dlc05_spell_shadow_the_withering	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_main_unit_passive_regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan
wh_main_unit_passive_frenzy	idrinth_hev_high_elf_vampires_chapel_khaine
wh_main_unit_passive_deathblow	idrinth_hev_high_elf_vampires_chapel_kurnous
wh2_dlc14_unit_passive_aura_of_agony	idrinth_hev_high_elf_vampires_chapel_shrine
wh_main_character_abilities_arcane_conduit	idrinth_hev_high_elf_vampires_chapel_shrine
wh_main_unit_passive_regeneration	idrinth_hev_high_elf_vampires_chapel_shrine
wh_main_unit_passive_frenzy	idrinth_hev_high_elf_vampires_chapel_shrine
wh3_main_unit_passive_single_entity	idrinth_hev_high_elf_vampires_chapel_shrine
wh_dlc04_unit_passive_the_reliquary_binding	idrinth_hev_high_elf_vampires_chapel_shrine
wh_dlc04_unit_passive_vigour_mortis	idrinth_hev_high_elf_vampires_chapel_shrine
wh_dlc04_unit_passive_balefire	idrinth_hev_high_elf_vampires_chapel_shrine
wh_dlc04_unit_passive_unholy_lodestone	idrinth_hev_high_elf_vampires_chapel_shrine
wh_dlc05_spell_shadow_the_enfeebling_foe	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_dlc05_spell_shadow_pit_of_shades	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh_main_spell_death_spirit_leech	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh_main_unit_passive_regeneration	idrinth_hev_high_elf_vampires_chapel_stone_wolves
wh_main_item_abilities_potion_of_healing	idrinth_hev_high_elf_vampires_chapel_mixed
wh_main_character_abilities_deadly_onslaught	idrinth_hev_high_elf_vampires_chapel_khaine
wh_main_character_abilities_deadly_onslaught	idrinth_hev_high_elf_vampires_chapel_khaine_leader
wh3_main_character_abilities_enchanted_metallurgy_flaming	idrinth_hev_high_elf_vampires_chapel_asuryan
wh3_main_character_abilities_enchanted_metallurgy_flaming	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
wh_main_character_abilities_foe_seeker	idrinth_hev_high_elf_vampires_chapel_kurnous
wh_main_character_abilities_foe_seeker	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
wh2_dlc12_unit_abilities_refuse_to_die	idrinth_hev_high_elf_vampires_chapel_stone_wolves
