key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/idrinth																												
idrinth_anc_talisman_stone_of_dried_blood	wh_main_anc_talisman	.	false	false	false	1	0	9999			true	false	false	talisman	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_talisman_talisman_of_souls	wh_main_anc_talisman	.	false	false	false	1	0	9999			true	false	false	talisman	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_talisman_forest_berry_wine	wh_main_anc_talisman	.	false	false	false	1	0	9999			true	false	false	talisman	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_weapon_kurnous_blessed_hunting_bow	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_armour_khaines_visage	wh_main_anc_armour	.	false	false	false	1	0	9999			true	false	false	armour	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_weapon_khaines_thirsting_sword	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_weapon_asuryans_perfection_sword	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_armour_kurnous_forest_cloak	wh_main_anc_armour	.	false	false	false	1	0	9999			true	false	false	armour	16	30	30	50	true			200	-1		false	false	false	all
idrinth_anc_armour_asuryans_destiny	wh_main_anc_armour	.	false	false	false	1	0	9999			true	false	false	armour	16	30	30	50	true			200	-1		false	false	false	all
